,size,max_weight,min_weight,mean_weight,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,compression_factor,top_r,avg_p1_error,relative_p1_error,p2_error
encoder.layer.6.attention.self.query.weight,"[768, 768]",0.3202749490737915,-0.2717173397541046,6.366466550389305e-05,4.453802108764648,0.5227842926979065,631.8099309802055,474,0.6171875,0.5,192,0.016647852957248688,48.80418725304401,16.075746536254883
encoder.layer.6.attention.self.key.weight,"[768, 768]",0.36005645990371704,-0.3337151110172272,-5.165209586266428e-05,5.259000301361084,0.5177395939826965,623.9284230470657,472,0.6145833333333334,0.5,192,0.01646619662642479,48.35797613604748,15.903586387634277
encoder.layer.6.attention.self.value.weight,"[768, 768]",0.1851368546485901,-0.19377253949642181,2.35847219300922e-05,2.66791033744812,0.44536861777305603,525.2617165148258,494,0.6432291666666666,0.5,192,0.014598237350583076,54.66162476383517,14.11583137512207
encoder.layer.6.attention.output.dense.weight,"[768, 768]",0.20038966834545135,-0.21602025628089905,-2.87688453681767e-06,2.4234535694122314,0.44246020913124084,505.9621932506561,494,0.6432291666666666,0.5,192,0.014604061841964722,58.08358232130576,14.183180809020996
encoder.layer.6.intermediate.dense.weight,"[3072, 768]",0.3509213924407959,-0.2982273995876312,-3.4460181268514134e-06,11.99095344543457,1.3559268712997437,1442.795608639717,629,0.8190104166666666,0.5,307,0.017701804637908936,55.075731286355115,34.37605285644531
encoder.layer.6.output.dense.weight,"[768, 3072]",1.6329282522201538,-4.809151649475098,1.548233922221698e-05,7.525730133056641,1.2203807830810547,1359.8217729330063,623,0.8111979166666666,0.5,307,0.01604260690510273,53.49253174780429,31.173866271972656
encoder.layer.7.attention.self.query.weight,"[768, 768]",0.3302304744720459,-0.26866596937179565,-5.805635282740695e-06,4.745452880859375,0.5096592903137207,625.280759871006,468,0.609375,0.5,192,0.016071436926722527,46.71830524534687,15.52473258972168
encoder.layer.7.attention.self.key.weight,"[768, 768]",0.434326171875,-0.3854716718196869,-1.1958013601542916e-05,5.198153972625732,0.5054347515106201,618.5679939985275,468,0.609375,0.5,192,0.015910359099507332,46.15314498409134,15.354464530944824
encoder.layer.7.attention.self.value.weight,"[768, 768]",0.1688738614320755,-0.19491936266422272,9.529309318168089e-05,2.2786710262298584,0.4485491216182709,519.8051635622978,498,0.6484375,0.5,192,0.015158876776695251,58.40540211000814,14.690923690795898
encoder.layer.7.attention.output.dense.weight,"[768, 768]",0.2465004026889801,-0.24495190382003784,-1.4654674487246666e-05,2.0816030502319336,0.46090444922447205,510.32118332386017,502,0.6536458333333334,0.5,192,0.015483587980270386,62.257485895487676,15.030406951904297
