,size,max_weight,min_weight,mean_weight,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,compression_factor,top_r,avg_p1_error,relative_p1_error,p2_error
layers.0.self_attn.q_proj.weight,"[4096, 4096]",0.72265625,-0.7734375,-3.02E-06,21.83099556,0.119695552,815.2878287,1104,0.26953125,0.5,1024,0.000481592,6.60570819,2.602626801
layers.0.self_attn.k_proj.weight,"[4096, 4096]",0.703125,-0.81640625,8.61E-06,18.5958786,0.135079563,909.4659634,983,0.239990234,0.5,1024,0.000454404,4.894104356,2.461101532
layers.0.self_attn.v_proj.weight,"[4096, 4096]",0.134765625,-0.124023438,4.80E-07,4.031841278,0.242066592,1759.238954,2332,0.569335938,0.5,1024,0.003127641,38.86849144,16.16388321
layers.0.self_attn.o_proj.weight,"[4096, 4096]",0.416015625,-0.451171875,-1.59E-06,4.386460781,0.160088316,1141.969826,2374,0.579589844,0.5,1024,0.002090261,42.37438824,10.7812252
layers.0.mlp.gate_proj.weight,"[11008, 4096]",0.7265625,-0.890625,-1.51E-05,11.77065468,0.802753747,5360.6196,3139,0.766357422,0.5,1492,0.006021641,46.41782944,50.85575104
layers.0.mlp.up_proj.weight,"[11008, 4096]",0.314453125,-0.341796875,-3.21E-07,10.58347511,0.809674859,5364.666486,3145,0.767822266,0.5,1492,0.00610143,47.61630666,51.54204559
layers.0.mlp.down_proj.weight,"[4096, 11008]",0.52734375,-0.51171875,-2.00E-06,8.896803856,0.945112288,5904.798851,3229,0.788330078,0.5,1492,0.007230418,54.26685212,61.00579071
layers.1.self_attn.q_proj.weight,"[4096, 4096]",0.47265625,-0.408203125,-4.03E-06,18.42098427,0.39104259,2938.658526,1561,0.381103516,0.5,1024,0.002854036,16.2999776,15.26330566
layers.1.self_attn.k_proj.weight,"[4096, 4096]",0.57421875,-0.51953125,-2.34E-06,20.14679337,0.385842621,2856.132223,1460,0.356445313,0.5,1024,0.002527579,14.30377869,13.62496662
layers.1.self_attn.v_proj.weight,"[4096, 4096]",0.107910156,-0.127929688,1.53E-06,3.262158632,0.262684613,1778.143995,2488,0.607421875,0.5,1024,0.00361268,48.70148878,18.69507027
layers.1.self_attn.o_proj.weight,"[4096, 4096]",0.58984375,-0.494140625,8.84E-08,3.869750261,0.204215556,1425.890011,2382,0.581542969,0.5,1024,0.00278383,48.3111583,14.51835918
layers.1.mlp.gate_proj.weight,"[11008, 4096]",0.9765625,-1.09375,-3.19E-05,14.16161537,0.870984793,5903.714877,3101,0.757080078,0.5,1492,0.006532737,45.34272301,55.13647461
layers.1.mlp.up_proj.weight,"[11008, 4096]",0.294921875,-0.40625,2.90E-06,7.377152443,0.91269505,5912.912914,3153,0.769775391,0.5,1492,0.006972574,51.1464241,58.84485245
layers.1.mlp.down_proj.weight,"[4096, 11008]",1.5625,-1.421875,1.26E-06,6.657755852,1.092264891,6303.551486,3314,0.809082031,0.5,1492,0.008233654,59.49355086,69.40940094
layers.2.self_attn.q_proj.weight,"[4096, 4096]",1.1015625,-0.75390625,7.38E-06,16.2221756,0.592658639,3962.017446,2020,0.493164063,0.5,1024,0.006432108,32.98073109,34.45810318
layers.2.self_attn.k_proj.weight,"[4096, 4096]",0.373046875,-0.345703125,6.95E-07,19.20553398,0.619813979,4115.950274,1974,0.481933594,0.5,1024,0.006491604,32.38637483,34.95801544
layers.2.self_attn.v_proj.weight,"[4096, 4096]",0.147460938,-0.127929688,-6.43E-07,3.535521984,0.42296356,2703.326927,2631,0.642333984,0.5,1024,0.006043824,53.3060343,31.12831116
layers.2.self_attn.o_proj.weight,"[4096, 4096]",0.515625,-0.60546875,-2.78E-06,6.020191193,0.429443836,2680.653124,2668,0.651367188,0.5,1024,0.006241207,56.9241493,32.14703751
layers.2.mlp.gate_proj.weight,"[11008, 4096]",0.41796875,-0.52734375,1.37E-05,10.61984444,1.027937651,6396.141685,3225,0.787353516,0.5,1492,0.007674761,51.46460684,64.67327881
layers.2.mlp.up_proj.weight,"[11008, 4096]",0.455078125,-0.310546875,3.00E-06,4.544019222,1.021297455,6189.338462,3248,0.79296875,0.5,1492,0.007693823,55.31594723,64.85079956
layers.2.mlp.down_proj.weight,"[4096, 11008]",0.8984375,-0.66796875,-7.53E-07,5.67345047,1.128559351,6397.645645,3320,0.810546875,0.5,1492,0.008461107,60.44645395,71.28631592
layers.3.self_attn.q_proj.weight,"[4096, 4096]",0.78125,-0.6875,-8.36E-06,13.41968632,0.638501763,4241.662409,2348,0.573242188,0.5,1024,0.008235006,43.58483542,43.48856354
layers.3.self_attn.k_proj.weight,"[4096, 4096]",0.32421875,-0.41015625,5.27E-06,15.32383823,0.671737432,4436.374138,2328,0.568359375,0.5,1024,0.008600667,44.21303079,45.55226517
layers.3.self_attn.v_proj.weight,"[4096, 4096]",0.138671875,-0.114257813,1.08E-06,3.072585821,0.415597677,2603.485436,2652,0.647460938,0.5,1024,0.005949113,55.46476997,30.69139671
layers.3.self_attn.o_proj.weight,"[4096, 4096]",0.470703125,-0.5390625,-6.91E-06,6.354206085,0.407135814,2544.824272,2650,0.646972656,0.5,1024,0.005865671,56.07248201,30.25451088
layers.3.mlp.gate_proj.weight,"[11008, 4096]",0.578125,-0.451171875,-4.19E-06,9.85562706,1.15041101,6771.820402,3287,0.802490234,0.5,1492,0.008613777,56.99266063,72.6048584
layers.3.mlp.up_proj.weight,"[11008, 4096]",0.50390625,-0.451171875,3.95E-06,4.344289303,1.102285981,6373.976328,3303,0.806396484,0.5,1492,0.008286794,59.17218052,69.84352875
layers.3.mlp.down_proj.weight,"[4096, 11008]",0.68359375,-0.66796875,5.16E-06,6.360035419,1.069001555,6301.323261,3284,0.801757813,0.5,1492,0.00800842,57.06664798,67.49599457
layers.4.self_attn.q_proj.weight,"[4096, 4096]",0.63671875,-0.67578125,1.80E-06,13.79111767,0.650791466,4376.036479,2363,0.576904297,0.5,1024,0.008402267,42.12965462,44.14037323
layers.4.self_attn.k_proj.weight,"[4096, 4096]",0.51171875,-0.30859375,1.35E-05,15.75439262,0.675239921,4506.361938,2355,0.574951172,0.5,1024,0.008695012,43.17159281,45.79689789
layers.4.self_attn.v_proj.weight,"[4096, 4096]",0.118652344,-0.142578125,-3.10E-06,3.102711201,0.438218623,2751.494895,2666,0.650878906,0.5,1024,0.006297089,55.31973114,32.41795731
layers.4.self_attn.o_proj.weight,"[4096, 4096]",0.52734375,-0.62109375,-6.55E-07,5.823876858,0.430626571,2694.927354,2664,0.650390625,0.5,1024,0.006221698,55.92777783,32.02667999
layers.4.mlp.gate_proj.weight,"[11008, 4096]",0.44921875,-0.51953125,-4.81E-06,10.92127132,1.175392985,6904.282487,3295,0.804443359,0.5,1492,0.008783461,57.07367092,74.04701233
layers.4.mlp.up_proj.weight,"[11008, 4096]",0.353515625,-0.478515625,4.51E-06,4.294732571,1.106116295,6344.329035,3316,0.809570313,0.5,1492,0.008295108,59.66931472,69.91552734
layers.4.mlp.down_proj.weight,"[4096, 11008]",0.80859375,-0.9765625,5.50E-07,6.287213326,1.060730219,6232.783089,3287,0.802490234,0.5,1492,0.0079223,57.14545887,66.82311249
