,size,max_singular_value,min_singular_value_90,sum_singular_values_90,num_rank_90,rank90_ratio,reconstruction_error
layers.11.self_attn.q_proj.weight,"[4096, 4096]",11.18149662,0.560673833,3936.459432,2400,0.5859375,49.67672348
layers.11.self_attn.k_proj.weight,"[4096, 4096]",12.93240261,0.57380271,3988.747599,2424,0.591796875,51.16280746
layers.11.self_attn.v_proj.weight,"[4096, 4096]",3.401183128,0.419014513,2739.09572,2566,0.626464844,37.56777573
layers.11.self_attn.o_proj.weight,"[4096, 4096]",5.648757458,0.413483799,2700.141454,2530,0.617675781,37.32707596
layers.11.mlp.gate_proj.weight,"[11008, 4096]",13.55577946,1.095817924,6694.243719,3247,0.792724609,84.14528656
layers.11.mlp.up_proj.weight,"[11008, 4096]",5.675954342,1.108569264,6507.155387,3286,0.802246094,84.55259705
layers.11.mlp.down_proj.weight,"[4096, 11008]",7.464100361,1.063283086,6352.652161,3263,0.796630859,81.24045563
layers.12.self_attn.q_proj.weight,"[4096, 4096]",11.80156994,0.615897059,4192.75745,2454,0.599121094,55.26054382
layers.12.self_attn.k_proj.weight,"[4096, 4096]",13.59975719,0.633470833,4307.811376,2460,0.600585938,56.66979599
layers.12.self_attn.v_proj.weight,"[4096, 4096]",3.245185614,0.42657128,2753.561853,2591,0.632568359,38.59030151
layers.12.self_attn.o_proj.weight,"[4096, 4096]",4.950929165,0.428400159,2741.534388,2585,0.631103516,38.83817291
layers.12.mlp.gate_proj.weight,"[11008, 4096]",13.06389618,1.095310926,6671.345575,3249,0.793212891,84.16213226
layers.12.mlp.up_proj.weight,"[11008, 4096]",6.004004478,1.115547419,6565.921917,3284,0.801757813,85.31398773
layers.12.mlp.down_proj.weight,"[4096, 11008]",6.818364143,1.073421121,6411.460967,3261,0.796142578,82.11690521
layers.13.self_attn.q_proj.weight,"[4096, 4096]",12.08737659,0.616433442,4179.190689,2468,0.602539063,55.14486313
layers.13.self_attn.k_proj.weight,"[4096, 4096]",13.83546543,0.644349694,4317.01569,2491,0.608154297,58.13006973
layers.13.self_attn.v_proj.weight,"[4096, 4096]",3.114442587,0.458672851,2915.607033,2629,0.641845703,41.72792816
layers.13.self_attn.o_proj.weight,"[4096, 4096]",5.116381168,0.437997282,2819.894751,2571,0.627685547,39.74614716
layers.13.mlp.gate_proj.weight,"[11008, 4096]",13.28913212,1.099028587,6665.040789,3250,0.793457031,84.47132874
layers.13.mlp.up_proj.weight,"[11008, 4096]",6.325664043,1.135374546,6646.747116,3289,0.802978516,86.69579315
layers.13.mlp.down_proj.weight,"[4096, 11008]",6.426171303,1.1012007,6499.139543,3277,0.800048828,83.85837555
layers.14.self_attn.q_proj.weight,"[4096, 4096]",11.63124561,0.593697608,4067.804674,2449,0.597900391,52.59825897
layers.14.self_attn.k_proj.weight,"[4096, 4096]",13.66700172,0.608950555,4150.136097,2466,0.602050781,54.02412796
layers.14.self_attn.v_proj.weight,"[4096, 4096]",2.758440018,0.447758436,2850.46102,2617,0.638916016,40.60538101
layers.14.self_attn.o_proj.weight,"[4096, 4096]",4.546376228,0.430953264,2769.325889,2572,0.627929688,39.13894272
layers.14.mlp.gate_proj.weight,"[11008, 4096]",13.15201664,1.100656152,6652.423761,3246,0.792480469,84.39822388
layers.14.mlp.up_proj.weight,"[11008, 4096]",6.490736961,1.13897872,6651.430077,3282,0.801269531,86.84137726
layers.14.mlp.down_proj.weight,"[4096, 11008]",6.153873444,1.105068445,6512.125883,3278,0.800292969,84.25782013
layers.15.self_attn.q_proj.weight,"[4096, 4096]",12.71955204,0.609883845,4116.06814,2475,0.604248047,54.46991348
layers.15.self_attn.k_proj.weight,"[4096, 4096]",14.32470608,0.633205414,4249.772383,2488,0.607421875,56.37362671
layers.15.self_attn.v_proj.weight,"[4096, 4096]",3.000715971,0.46960631,2975.584694,2639,0.644287109,42.42665482
layers.15.self_attn.o_proj.weight,"[4096, 4096]",4.588168621,0.458564162,2917.668063,2603,0.635498047,41.84983444
layers.15.mlp.gate_proj.weight,"[11008, 4096]",13.09079075,1.115274191,6712.211032,3256,0.794921875,85.45394135
layers.15.mlp.up_proj.weight,"[11008, 4096]",6.801887035,1.153020859,6705.080086,3295,0.804443359,87.74449158
layers.15.mlp.down_proj.weight,"[4096, 11008]",5.768622398,1.131934047,6589.28036,3297,0.804931641,86.06581116
layers.16.self_attn.q_proj.weight,"[4096, 4096]",12.96548843,0.602910221,4064.790391,2472,0.603515625,53.34790421
layers.16.self_attn.k_proj.weight,"[4096, 4096]",14.67752266,0.619711339,4174.309208,2482,0.605957031,55.17835999
layers.16.self_attn.v_proj.weight,"[4096, 4096]",2.83515954,0.50523591,3158.457859,2669,0.651611328,45.85386276
layers.16.self_attn.o_proj.weight,"[4096, 4096]",5.012319565,0.498280168,3114.705625,2640,0.64453125,45.60907364
layers.16.mlp.gate_proj.weight,"[11008, 4096]",13.48286819,1.122523189,6744.124993,3246,0.792480469,85.91680145
layers.16.mlp.up_proj.weight,"[11008, 4096]",7.069870949,1.147046328,6683.291651,3281,0.801025391,87.37213135
layers.16.mlp.down_proj.weight,"[4096, 11008]",5.469715118,1.148733616,6626.606301,3304,0.806640625,87.40998077
layers.17.self_attn.q_proj.weight,"[4096, 4096]",12.8994751,0.636695325,4179.502479,2520,0.615234375,57.03992081
